DZIAL;STAZ;CZY_KIER;PLEC;PYT_1;PYT_2;PYT_3;WIEK
IT;3;Nie;M;-2;1;NA;22
PD;2;Nie;M;2;1;2;37
PD;1;Nie;K;1;-1;-1;46
PD;2;Nie;K;2;1;NA;44
PD;1;Nie;M;2;2;NA;37
IT;1;Nie;M;1;1;NA;22
PD;2;Nie;M;-1;2;2;39
MK;2;Nie;K;0;1;1;55
IT;2;Nie;M;1;1;1;57
HR;3;Nie;M;1;1;NA;33
PD;2;Nie;M;1;1;1;35
MK;2;Nie;M;-2;1;NA;26
PD;3;Nie;K;1;-1;2;42
PD;3;Tak;K;-2;1;1;26
HR;3;Nie;M;-2;1;1;30
PD;2;Nie;M;1;-1;-1;48
PD;1;Nie;K;2;2;2;46
HR;2;Nie;M;2;2;NA;47
HR;3;Nie;M;1;-2;-2;51
PD;2;Nie;M;1;1;2;35
PD;1;Nie;K;1;1;1;29
PD;1;Nie;K;1;-1;NA;41
HR;2;Nie;K;1;-1;NA;39
IT;3;Nie;K;-1;-2;1;22
IT;1;Nie;M;0;-1;-1;39
IT;1;Nie;M;-1;1;1;38
MK;2;Nie;M;-2;1;1;62
IT;1;Nie;M;0;1;2;40
PD;3;Nie;K;1;-2;2;39
PD;3;Tak;K;1;-1;NA;38
IT;2;Nie;K;2;-1;2;44
IT;3;Nie;M;1;2;NA;22
MK;2;Nie;M;-2;-2;2;38
PD;1;Nie;K;1;-2;NA;51
HR;1;Nie;K;2;1;1;43
PD;3;Nie;K;1;1;NA;35
PD;3;Nie;K;1;1;1;37
HR;2;Nie;M;1;-1;NA;50
MK;3;Tak;M;2;-1;2;39
PD;1;Nie;M;2;-1;NA;40
PD;2;Nie;M;1;2;NA;39
MK;2;Nie;M;1;-2;1;49
MK;1;Nie;M;2;-1;NA;42
PD;2;Nie;M;2;1;1;29
IT;2;Nie;K;0;-1;NA;45
PD;1;Nie;M;2;2;2;27
PD;3;Nie;M;0;1;NA;50
HR;3;Tak;K;1;1;2;47
PD;2;Nie;K;2;1;1;43
HR;1;Nie;K;0;2;NA;42
IT;2;Nie;K;1;-1;-1;46
IT;1;Nie;M;0;2;-1;44
PD;3;Nie;M;2;1;1;38
PD;3;Nie;K;2;1;NA;44
MK;2;Nie;K;-2;-1;NA;37
PD;1;Nie;M;1;2;2;35
MK;1;Nie;M;1;-2;NA;30
PD;3;Nie;M;1;1;2;41
PD;1;Nie;M;1;-1;-1;37
PD;3;Nie;M;0;-1;2;46
PD;2;Nie;M;1;-1;-1;38
IT;3;Tak;M;0;1;1;50
PD;2;Nie;M;1;-1;NA;34
IT;2;Nie;K;2;-1;NA;23
PD;2;Nie;K;1;1;1;35
PD;2;Nie;M;1;1;1;58
PD;3;Nie;K;2;1;NA;47
IT;1;Nie;K;1;1;1;31
PD;1;Nie;K;1;-2;NA;27
PD;2;Nie;K;-1;1;NA;22
MK;2;Nie;M;0;1;-1;22
HR;2;Nie;K;1;1;NA;22
MK;3;Tak;M;1;-1;NA;47
PD;2;Nie;K;2;1;1;46
HR;3;Nie;M;2;-1;NA;27
HR;2;Nie;K;0;1;2;38
PD;1;Nie;K;2;2;-2;37
PD;3;Nie;M;2;2;NA;51
IT;2;Nie;K;1;-2;NA;25
PD;2;Nie;K;2;-2;-1;30
HR;3;Nie;M;1;1;NA;42
PD;3;Nie;M;1;1;1;40
PD;2;Nie;M;1;1;2;23
PD;3;Nie;M;2;1;1;54
MK;2;Nie;M;2;1;NA;29
HR;2;Nie;M;1;1;1;50
PD;1;Nie;M;-1;-1;1;28
PD;1;Nie;M;1;2;-1;22
IT;2;Nie;K;0;1;1;29
PD;1;Nie;M;1;1;1;40
PD;2;Nie;K;1;1;1;40
IT;1;Nie;K;1;2;2;35
MK;1;Nie;K;0;1;1;43
HR;1;Nie;M;2;2;1;42
PD;3;Tak;K;2;-1;-1;34
MK;1;Nie;M;0;1;1;44
MK;2;Nie;K;2;1;NA;40
PD;3;Nie;M;1;1;NA;22
PD;2;Nie;K;1;1;1;46
HR;1;Tak;M;1;2;NA;55
MK;3;Nie;M;-1;1;NA;51
HR;2;Nie;K;-1;2;NA;37
HR;3;Nie;K;1;1;NA;35
HR;3;Tak;K;1;2;1;41
PD;2;Nie;M;1;1;1;30
IT;2;Nie;K;1;2;2;30
PD;1;Tak;M;1;1;1;56
PD;3;Nie;M;1;-1;2;43
PD;1;Nie;M;2;-1;-1;44
MK;1;Nie;K;-2;2;-2;41
PD;2;Nie;M;1;1;1;26
HR;2;Nie;K;0;1;1;27
PD;1;Nie;M;1;2;2;52
MK;2;Nie;M;2;-1;1;26
PD;3;Nie;K;1;1;1;31
PD;1;Nie;K;2;2;1;38
MK;2;Nie;M;-1;2;2;41
IT;3;Nie;K;-1;1;2;48
IT;2;Nie;K;1;1;1;41
MK;2;Nie;K;1;1;-1;31
PD;3;Nie;K;1;-2;-2;38
MK;3;Tak;K;1;1;1;32
PD;3;Tak;K;-1;-1;NA;26
MK;2;Nie;K;1;-1;-1;31
HR;1;Tak;M;1;1;1;37
PD;2;Nie;M;0;2;NA;29
PD;1;Nie;M;1;-2;1;29
MK;3;Tak;K;0;-1;1;34
